tag_id,subloc_sequence,detection_counts,dwell_times,similarity_score,similarity(in_days)
989.001042511509,"[1.0, 1.0, 0.01, 1.0]","[4, 2, 3, 1]","[0.01, 0.01, 1286071.13, 0.01]",4286.92126666667,0.0496171442901235
989.00103873646,"[1.0, 1.0]","[10, 1]","[42593.15, 0.01]",4259.325,0.0492977430555556
989.001039402504,"[1.0, 1.0, 1.0, 0.01]","[2, 18, 32, 8]","[0.01, 76170.99, 215.6, 0.01]",4238.46417916667,0.0490562983699846
989.001041756845,"[1.0, 0.01, 1.0, 0.01, 1.0, 0.01]","[8, 8, 4, 16, 8, 4]","[662.14, 13923.96, 0.01, 1896.16, 33069.03, 0.01]",4234.988825,0.0490160743634259
989.001045737686,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0]","[3, 3, 3, 6, 6, 6]","[0.01, 0.01, 0.01, 317.07, 657.89, 25009.59]",4222.20988333333,0.0488681699459877
989.001042810612,[1.0],[2],[8382.47],4191.235,0.0485096643518518
989.001038725597,"[1.0, 0.01, 1.0, 0.01, 1.0]","[1, 2, 11, 1, 7]","[0.01, 253.06, 22547.44, 0.01, 14541.58]",4128.41124415584,0.0477825375481001
989.001038861817,"[0.01, 1.0, 0.01, 1.0, 0.01, 1.0, 1.0, 0.01, 1.0]","[1, 1, 78, 99, 3, 6, 81, 27, 54]","[0.01, 0.01, 2210.57, 382373.0, 0.01, 60.04, 1566.01, 10096.98, 11047.96]",4100.31867262799,0.0474573920443054
989.002027696879,"[1.0, 0.01]","[12, 4]","[48832.77, 0.01]",4069.397525,0.0470995083912037
989.001042043341,"[1.0, 0.01, 1.0, 0.01]","[1, 8, 1, 1]","[0.01, 3225373.06, 0.01, 0.01]",4031.736425,0.0466636160300926
989.001038855645,[1.0],[2],[8040.18],4020.09,0.0465288194444444
989.001039378758,"[1.0, 0.01, 0.01]","[18, 6, 7]","[72258.96, 0.01, 0.01]",4014.38669761905,0.0464628090002205
989.001038872372,[0.01],[10],[4002885.34],4002.88534,0.0463296914351852
989.001038892195,"[1.0, 0.01, 1.0]","[48, 12, 4]","[159241.63, 789640.11, 0.01]",3975.56988333333,0.046013540316358
989.001040930119,"[0.01, 1.0, 1.0, 0.01]","[4, 112, 46, 3]","[0.01, 6126.69, 179463.49, 1200.0]",3960.08283167702,0.0458342920332988
989.001038736128,"[1.0, 1.0]","[18, 2]","[65162.61, 618.61]",3929.45,0.0454797453703704
